[Category],[Exam],[Question Text],[Choice 1],[Choice 2],[Choice 3],[Choice 4],[Correct Answer],[Explanation],[Difficulty],[Topic],[Points],[Question Type]
[ASI Bihar Exam],[Practice Set-3],[Mathematics: [What is 25 × 4?]],[100],[90],[110],[95],[100],[25 multiplied by 4 equals 100.],[easy],[Mathematics],[1],[single]
[ASI Bihar Exam],[Practice Set-3],[History: [Who was the last ruler of the Mughal dynasty?]],[Bahadur Shah Zafar],[Aurangzeb],[Akbar],[Shah Jahan],[Bahadur Shah Zafar],[Bahadur Shah Zafar was the last Mughal emperor.],[medium],[History],[1],[single]
[ASI Bihar Exam],[Practice Set-3],[Geography: [Which river is known as the Ganga of Bihar?]],[Gandak],[Kosi],[Son],[Bagmati],[Gandak],[Gandak is often called the Ganga of Bihar.],[medium],[Geography],[1],[single]
[ASI Bihar Exam],[Practice Set-3],[Culture: [Which festival is celebrated as Chhath in Bihar?]],[Sun Worship],[Diwali],[Holi],[Makar Sankranti],[Sun Worship],[Chhath is a festival dedicated to Sun worship.],[easy],[Culture],[1],[single]
[ASI Bihar Exam],[Practice Set-3],[Current Affairs: [Who won the Best Teacher award in Bihar in 2024?]],[Sunita Singh],[Ramesh Kumar],[Anita Verma],[Ram Chandra],[Sunita Singh],[Sunita Singh received Best Teacher award in 2024.],[medium],[Current Affairs],[1],[single]
[ASI Bihar Exam],[Practice Set-3],[Reasoning: [All squares are rectangles, some rectangles are blue. Which is true?]],[Cannot say],[All squares are blue],[No square is blue],[Some squares are blue],[Cannot say],[Cannot conclude which squares are blue.],[hard],[Reasoning],[1],[single]
[ASI Bihar Exam],[Practice Set-3],[Mathematics: [Solve: 15 ÷ 3 + 7]],[12],[10],[15],[8],[12],[15÷3+7=5+7=12.],[easy],[Mathematics],[1],[single]
[ASI Bihar Exam],[Practice Set-3],[History: [Who founded Patna University?]],[Lord Curzon],[Lord Ripon],[Lord Canning],[Lord Minto],[Lord Ripon],[Patna University was founded by Lord Ripon.],[medium],[History],[1],[single]
[ASI Bihar Exam],[Practice Set-3],[Geography: [Which is the highest peak in Bihar?]],[Someshwar],[Rajgir],[Baba Mandar],[Sundarbans],[Someshwar],[Someshwar is the highest peak in Bihar.],[medium],[Geography],[1],[single]
[ASI Bihar Exam],[Practice Set-3],[Culture: [Which folk song is popular in Bihar during harvest?]],[Kajari],[Bhajan],[Chaiti],[Bhojpuri Folk],[Kajari],[Kajari is popular during harvest in Bihar.],[easy],[Culture],[1],[single]
