[Category],[Exam],[Question Text],[Choice 1],[Choice 2],[Choice 3],[Choice 4],[Correct Answer],[Explanation],[Difficulty],[Topic],[Points],[Question Type]
[ASI Bihar Exam],[Practice Set-4],[General Knowledge: [Who is the current Governor of Bihar in 2025?]],[Phagu Chauhan],[Rajendra Vishwanath],[Droupadi Murmu],[Nitish Kumar],[Phagu Chauhan],[Phagu Chauhan is the Governor of Bihar as of 2025.],[medium],[Current Affairs],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Mathematics: [If a train travels 60 km in 1.5 hours, what is its speed?]],[40 km/h],[50 km/h],[60 km/h],[45 km/h],[40 km/h],[Speed = Distance / Time = 60 / 1.5 = 40 km/h.],[easy],[Mathematics],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[History: [Who was the founder of the Maurya Empire?]],[Chandragupta Maurya],[Ashoka],[Bindusara],[Ajatashatru],[Chandragupta Maurya],[Chandragupta Maurya founded the Maurya Empire.],[medium],[History],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Geography: [Which is the smallest district of Bihar by area?]],[Gaya],[Sheikhpura],[Nalanda],[Saran],[Sheikhpura],[Sheikhpura is the smallest district in Bihar by area.],[medium],[Geography],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Culture: [Madhubani painting originates from which district?]],[Madhubani],[Darbhanga],[Patna],[Bhagalpur],[Madhubani],[Madhubani painting originates from Madhubani district.],[easy],[Culture],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Current Affairs: [Which e-governance initiative was launched in Bihar in 2025?]],[Digital Bihar],[Smart Bihar],[e-Bihar],[Bihar Connect],[Digital Bihar],[Digital Bihar is an initiative for online governance and services.],[medium],[Current Affairs],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Reasoning: [All pencils are pens, some pens are red. What can we conclude about pencils?]],[Some pencils are red],[All pencils are red],[Cannot say],[No pencils are red],[Cannot say],[Cannot conclude about pencils based on the given information.],[hard],[Reasoning],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Mathematics: [Find the square of 17.]],[289],[270],[300],[256],[289],[17×17=289.],[easy],[Mathematics],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[History: [Which Bihar ruler built Vikramshila University?]],[Dharmapala],[Harshavardhan],[Ashoka],[Chandragupta],[Dharmapala],[Dharmapala built Vikramshila University.],[medium],[History],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Geography: [Which river is known as the ‘Sorrow of Bihar’?]],[Kosi],[Ganga],[Sone],[Gandak],[Kosi],[Kosi river is called the ‘Sorrow of Bihar’ due to frequent floods.],[medium],[Geography],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Culture: [Which festival is dedicated to the Sun God in Bihar?]],[Chhath],[Diwali],[Holi],[Makar Sankranti],[Chhath],[Chhath Puja is dedicated to the Sun God.],[easy],[Culture],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Current Affairs: [Which metro project is under construction in Patna in 2025?]],[Patna Metro],[Digha-Sonpur Rail],[Munger Metro],[Gaya Metro],[Patna Metro],[Patna Metro project is under construction to improve city transport.],[medium],[Current Affairs],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Mathematics: [What is 15% of 200?]],[30],[25],[35],[40],[30],[15% of 200 = 30.],[easy],[Mathematics],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Reasoning: [All birds can fly, penguins are birds. Which is true?]],[Penguins can fly],[Cannot say],[Some penguins can fly],[No penguin can fly],[Cannot say],[Cannot conclude because some birds cannot fly.],[hard],[Reasoning],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[History: [Who was Bihar’s first Chief Minister?]],[Sri Krishna Sinha],[Anugrah Narayan Sinha],[Bindeshwari Dubey],[Jagannath Mishra],[Sri Krishna Sinha],[Sri Krishna Sinha was the first CM of Bihar.],[medium],[History],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Geography: [Which district is famous for silk weaving in Bihar?]],[Bhagalpur],[Patna],[Darbhanga],[Gaya],[Bhagalpur],[Bhagalpur is famous for silk weaving.],[medium],[Geography],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Culture: [Which folk dance is performed during Holi in Bihar?]],[Jhijhiya],[Bidesia],[Paika],[Kathak],[Jhijhiya],[Jhijhiya is performed during Holi.],[easy],[Culture],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Current Affairs: [Which highway connects Patna to Muzaffarpur?]],[NH 22],[NH 28],[NH 31],[NH 33],[NH 28],[NH 28 connects Patna and Muzaffarpur.],[medium],[Current Affairs],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Mathematics: [Find LCM of 12 and 18.]],[36],[72],[24],[30],[36],[LCM of 12 and 18 is 36.],[easy],[Mathematics],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Reasoning: [All roses are flowers, some flowers fade quickly. Which is true?]],[Some roses fade quickly],[All roses fade quickly],[Cannot say],[No rose fades quickly],[Cannot say],[Cannot conclude about roses.],[hard],[Reasoning],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[True or False: [Bihar has a coastline.]],[False],[True],,,[False],[Bihar is landlocked.],[easy],[Geography],[1],[true_false]
