[Category],[Exam],[Question Text],[Choice 1],[Choice 2],[Choice 3],[Choice 4],[Correct Answer],[Explanation],[Difficulty],[Topic],[Points],[Question Type]
[ASI Bihar Exam],[Practice Set-2],[Which is the smallest district of Bihar by area?],[Sheikhpura],[Vaishali],[Banka],[Gopalganj],[Sheikhpura],[Sheikhpura is the smallest district by area in Bihar.],[medium],[Geography],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[Current Affairs: [Who became the Chief Minister of Bihar in 2025?]],[Nitish Kumar],[Tejashwi Yadav],[Sushil Modi],[Ravi Shankar Prasad],[Nitish Kumar],[Nitish Kumar is the Chief Minister of Bihar in 2025.],[medium],[Current Affairs],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[History: [Who founded the city of Gaya?]],[Bodhisattva Gautam],[King Jarasandha],[King Bimbisara],[King Ashoka],[King Jarasandha],[King Jarasandha founded Gaya in ancient times.],[medium],[History],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[Which festival is associated with Chhath Puja?],[Sun God],[Goddess Durga],[Lord Shiva],[Lord Vishnu],[Sun God],[Chhath Puja is dedicated to the Sun God.],[easy],[Culture],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[Mathematics: [Find the next number: 2, 6, 12, 20, ?]],[28],[30],[32],[36],[30],[The sequence follows n(n+1): 2,6,12,20,30.],[medium],[Mathematics],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[Geography: [Which plateau covers parts of Bihar?]],[Chota Nagpur Plateau],[Deccan Plateau],[Malwa Plateau],[Bundelkhand Plateau],[Chota Nagpur Plateau],[The Chota Nagpur Plateau extends into parts of Bihar.],[medium],[Geography],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[Reasoning: [All lions are cats, some cats are pets. Which is true?]],[All lions are pets],[Some lions are pets],[No lions are pets],[Cannot say],[Cannot say],[Cannot conclude about lions being pets from given info.],[hard],[Reasoning],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[History: [Which ruler built the Rohtas Fort in Bihar?]],[Sher Shah Suri],[Humayun],[Akbar],[Aurangzeb],[Sher Shah Suri],[Sher Shah Suri constructed Rohtas Fort.],[medium],[History],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[Current Affairs: [Which city in Bihar hosted the National Games 2024?]],[Patna],[Gaya],[Muzaffarpur],[Bhagalpur],[Patna],[Patna hosted the National Games in 2024.],[medium],[Current Affairs],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[Culture: [Which dance form is native to Bihar?]],[Bhojpuri Folk Dance],[Kathak],[Bihu],[Garba],[Bhojpuri Folk Dance],[Bhojpuri Folk Dance is native to Bihar.],[easy],[Culture],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[Mathematics: [What is the value of 7² + 8²?]],[113],[112],[115],[120],[113],[7²+8²=49+64=113.],[medium],[Mathematics],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[True or False: [Bihar shares a border with Nepal.]],[True],[False],,,[True],[Bihar shares its northern border with Nepal.],[easy],[Geography],[1],[true_false]
[ASI Bihar Exam],[Practice Set-2],[Logical Puzzle: [If A > B, B > C, which is true?]],[A > C],[B > A],[C > A],[Cannot say],[A > C],[Transitive logic: A > B > C implies A > C.],[medium],[Reasoning],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[General Knowledge: [What is the literacy rate of Bihar (approx) 2025?]],[70%],[75%],[65%],[60%],[70%],[The literacy rate of Bihar is approximately 70% in 2025.],[medium],[General Knowledge],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[Geography: [Which river joins Ganga at Patna?]],[Sone],[Kosi],[Gandak],[Punpun],[Gandak],[Gandak river meets Ganga near Patna.],[medium],[Geography],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[History: [Who was the last ruler of the Magadh Empire?]],[Ajatashatru],[Bimbisara],[Chandragupta Maurya],[Ashoka],[Ajatashatru],[Ajatashatru was the last notable ruler of early Magadh dynasty.],[medium],[History],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[Culture: [Which festival marks the beginning of Chaitra month in Bihar?]],[Holi],[Chhath],[Gudhi Padwa],[Ram Navami],[Holi],[Holi festival marks Chaitra month beginning.],[easy],[Culture],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[Mathematics: [If x/4 = 6, find x]],[24],[20],[28],[22],[24],[x/4=6 → x=24.],[easy],[Mathematics],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[Current Affairs: [Who won the Bihar State Literary Award 2024?]],[Ramdhari Singh Dinkar],[Amrita Pritam],[Ramesh Chandra],[Shashi Tharoor],[Ramesh Chandra],[Ramesh Chandra won the Bihar State Literary Award 2024.],[medium],[Current Affairs],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[Reasoning: [All apples are fruits, some fruits are red. Which is true?]],[All apples are red],[Some apples are red],[No apples are red],[Cannot say],[Cannot say],[Cannot conclude color of apples.],[hard],[Reasoning],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[Geography: [Which is the longest river in Bihar?]],[Ganga],[Kosi],[Gandak],[Sone],[Ganga],[Ganga is the longest river flowing through Bihar.],[medium],[Geography],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[History: [Which emperor established Pataliputra as capital?]],[Chandragupta Maurya],[Ashoka],[Bimbisara],[Ajatashatru],[Chandragupta Maurya],[Chandragupta Maurya established Pataliputra as capital of Maurya Empire.],[medium],[History],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[Logical Puzzle: [If 2x + 3 = 11, find x]],[3],[4],[5],[6],[4],[2x+3=11 → 2x=8 → x=4.],[medium],[Mathematics],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[True or False: [Patna University was established before independence.]],[True],[False],,,[True],[Patna University was established in 1917 before independence.],[easy],[History],[1],[true_false]
[ASI Bihar Exam],[Practice Set-2],[Culture: [Which is a traditional sweet of Bihar?]],[Litti Chokha],[Thekua],[Kheer],[Rasgulla],[Thekua],[Thekua is a traditional sweet of Bihar.],[easy],[Culture],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[Current Affairs: [India launched a satellite in 2025 named?]],[Bhoomi-3],[RISAT-3],[INSAT-4B],[Cartosat-3],[RISAT-3],[RISAT-3 satellite was launched in 2025.],[medium],[Current Affairs],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[Reasoning: [If all cats are animals, some animals are pets. Which is true?]],[Some cats are pets],[All cats are pets],[No cats are pets],[Cannot say],[Cannot say],[Cannot conclude which cats are pets.],[hard],[Reasoning],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[Mathematics: [Solve: 5x - 7 = 18]],[5],[6],[7],[8],[5],[5x-7=18 → 5x=25 → x=5.],[medium],[Mathematics],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[Geography: [Which district of Bihar is famous for its silk production?]],[Bhagalpur],[Gaya],[Patna],[Muzaffarpur],[Bhagalpur],[Bhagalpur is known as the Silk City of Bihar.],[medium],[Geography],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[History: [Who built the Nalanda University?]],[Gupta Dynasty],[Harsha Vardhana],[Chandragupta I],[Kumaragupta],[Kumaragupta],[Kumaragupta of Gupta Dynasty founded Nalanda University.],[medium],[History],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[Culture: [Which folk song is famous in Bihar during Chhath Puja?]],[Kajri],[Chaiti],[Sohar],[Birha],[Sohar],[Sohar songs are sung during Chhath Puja.],[easy],[Culture],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[Current Affairs: [Which Indian state topped literacy rate in 2025?]],[Kerala],[Bihar],[Maharashtra],[Tamil Nadu],[Kerala],[Kerala has the highest literacy rate in India.],[medium],[Current Affairs],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[True or False: [Bihar has a coastline.]],[True],[False],,,[False],[Bihar is a landlocked state and has no coastline.],[easy],[Geography],[1],[true_false]
[ASI Bihar Exam],[Practice Set-2],[Mathematics: [Find the square of 15]],[225],[200],[150],[250],[225],[15²=225.],[easy],[Mathematics],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[History: [Who was the first Chief Minister of Bihar?]],[Sri Krishna Sinha],[Anugrah Narayan],[Binodanand Jha],[Laloo Prasad],[Sri Krishna Sinha],[Sri Krishna Sinha served as first CM of Bihar.],[medium],[History],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[Geography: [Which forest reserve is in Bihar?]],[Valmiki],[Sundarbans],[Jim Corbett],[Gir],[Valmiki],[Valmiki Tiger Reserve is located in Bihar.],[medium],[Geography],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[Culture: [What is the traditional attire of men in Bihar?]],[Dhoti-Kurta],[Sherwani],[Kurta-Pajama],[Lungi],[Dhoti-Kurta],[Dhoti-Kurta is traditional attire of men in Bihar.],[easy],[Culture],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[Current Affairs: [Which Indian Prime Minister visited Bihar in 2025?]],[Narendra Modi],[Manmohan Singh],[Atal Bihari],[Indira Gandhi],[Narendra Modi],[PM Narendra Modi visited Bihar in 2025.],[medium],[Current Affairs],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[Reasoning: [If all dogs are animals, some animals are pets, which is true?]],[Some dogs are pets],[All dogs are pets],[No dogs are pets],[Cannot say],[Cannot say],[Cannot conclude which dogs are pets.],[hard],[Reasoning],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[Mathematics: [Solve: 12 + 8 × 2]],[32],[40],[28],[36],[28],[12 + 8×2=12+16=28.],[medium],[Mathematics],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[Geography: [Which city is called the “City of Education” in Bihar?]],[Patna],[Muzaffarpur],[Bhagalpur],[Gaya],[Muzaffarpur],[Muzaffarpur is known as City of Education.],[medium],[Geography],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[History: [Which Mauryan ruler embraced Buddhism?]],[Ashoka],[Chandragupta],[Bindusara],[Bimbisara],[Ashoka],[Emperor Ashoka embraced Buddhism.],[medium],[History],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[Culture: [Which folk instrument is popular in Bihar?]],[Dholak],[Sitar],[Tabla],[Veena],[Dholak],[Dholak is commonly used in Bihar folk music.],[easy],[Culture],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[Current Affairs: [Who received Padma Shri from Bihar in 2024?]],[Ramchandra Sharma],[Ramesh Kumar],[Sunita Singh],[Anil Verma],[Sunita Singh],[Sunita Singh from Bihar received Padma Shri in 2024.],[medium],[Current Affairs],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[True or False: [Bihar is divided into 38 districts.]],[True],[False],,,[True],[Bihar has 38 districts.],[easy],[Geography],[1],[true_false]
[ASI Bihar Exam],[Practice Set-2],[Mathematics: [If 5² + 12² = ?]],[169],[144],[150],[125],[169],[5²+12²=25+144=169.],[medium],[Mathematics],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[Reasoning: [All roses are flowers, some flowers fade quickly. Which is true?]],[Some roses fade quickly],[All roses fade quickly],[No roses fade quickly],[Cannot say],[Cannot say],[Cannot determine which roses fade.],[hard],[Reasoning],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[History: [Which British Governor-General annexed Bihar?]],[Lord Cornwallis],[Lord Dalhousie],[Warren Hastings],[Lord Curzon],[Lord Dalhousie],[Lord Dalhousie annexed Bihar under British rule.],[medium],[History],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[Geography: [Which district is famous for Buddha’s Mahabodhi Temple?]],[Gaya],[Patna],[Nalanda],[Vaishali],[Gaya],[Bodh Gaya in Gaya district has Mahabodhi Temple.],[easy],[Geography],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[Culture: [Which dance is performed during Makar Sankranti?]],[Jhijhiya],[Bhojpuri Folk Dance],[Bihu],[Garba],[Jhijhiya],[Jhijhiya is performed in Bihar during Makar Sankranti.],[medium],[Culture],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[Current Affairs: [Which sports event was held in Patna in 2024?]],[National Games],[Asian Games],[Commonwealth Games],[State Games],[National Games],[National Games were held in Patna in 2024.],[medium],[Current Affairs],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[Mathematics: [Simplify: (3 × 4) + (5 × 2)]],[22],[23],[20],[21],[22],[3×4+5×2=12+10=22.],[easy],[Mathematics],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[Reasoning: [If all cats are mammals, some mammals are pets, which is true?]],[Some cats are pets],[All cats are pets],[No cats are pets],[Cannot say],[Cannot say],[Cannot conclude which cats are pets.],[hard],[Reasoning],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[True or False: [Nalanda University is in Bihar.]],[True],[False],,,[True],[Nalanda University is located in Bihar.],[easy],[History],[1],[true_false]
[ASI Bihar Exam],[Practice Set-2],[Geography: [Which district has the highest population density in Bihar?]],[Patna],[Gaya],[Muzaffarpur],[Bhagalpur],[Patna],[Patna has the highest population density.],[medium],[Geography],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[History: [Which emperor moved capital to Pataliputra?]],[Chandragupta Maurya],[Ashoka],[Bimbisara],[Ajatashatru],[Chandragupta Maurya],[Chandragupta Maurya moved capital to Pataliputra.],[medium],[History],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[Culture: [Which craft is famous in Bihar?]],[Madhubani Painting],[Warli Painting],[Pattachitra],[Tanjore Painting],[Madhubani Painting],[Madhubani Painting is traditional art of Bihar.],[easy],[Culture],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[Current Affairs: [Which Bihar politician won national award in 2024?]],[Nitish Kumar],[Tejashwi Yadav],[Ravi Shankar Prasad],[Sunita Singh],[Sunita Singh],[Sunita Singh received national award in 2024.],[medium],[Current Affairs],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[Mathematics: [Solve: 3x + 7 = 16]],[2],[3],[4],[5],[3],[3x+7=16 → 3x=9 → x=3.],[medium],[Mathematics],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[Reasoning: [If all A are B, some B are C, which is true?]],[Some A are C],[All A are C],[No A are C],[Cannot say],[Cannot say],[Cannot conclude relation between A and C.],[hard],[Reasoning],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[True or False: [Bihar shares international border with Nepal.]],[True],[False],,,[True],[Bihar shares its northern border with Nepal.],[easy],[Geography],[1],[true_false]
[ASI Bihar Exam],[Practice Set-2],[Geography: [Which Bihar city is called the “Silk City”?]],[Bhagalpur],[Patna],[Gaya],[Muzaffarpur],[Bhagalpur],[Bhagalpur is known as Silk City.],[medium],[Geography],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[History: [Who built the Vikramshila University?]],[King Dharmapala],[King Harsha],[King Ashoka],[King Bimbisara],[King Dharmapala],[Vikramshila University was established by King Dharmapala.],[medium],[History],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[Culture: [Which is the famous sweet of Bihar?]],[Thekua],[Rasgulla],[Kheer],[Ladoo],[Thekua],[Thekua is traditional sweet of Bihar.],[easy],[Culture],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[Current Affairs: [Which airport in Bihar was upgraded in 2024?]],[Patna Airport],[Gaya Airport],[Bhagalpur Airport],[Darbhanga Airport],[Patna Airport],[Patna Airport was upgraded in 2024.],[medium],[Current Affairs],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[Mathematics: [If 8 × 7 - 5 = ?]],[51],[54],[56],[50],[51],[8×7-5=56-5=51.],[medium],[Mathematics],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[Reasoning: [If all birds are animals, some animals can fly, which is true?]],[Some birds can fly],[All birds can fly],[No birds can fly],[Cannot say],[Cannot say],[Cannot conclude which birds can fly.],[hard],[Reasoning],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[True or False: [Patna is the capital of Bihar.]],[True],[False],,,[True],[Patna is the capital of Bihar.],[easy],[Geography],[1],[true_false]
[ASI Bihar Exam],[Practice Set-2],[Geography: [Which district is famous for mango orchards?]],[Muzaffarpur],[Patna],[Gaya],[Bhagalpur],[Muzaffarpur],[Muzaffarpur is known for mango orchards.],[medium],[Geography],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[History: [Which dynasty ruled Magadh before Maurya?]],[Haryanka Dynasty],[Gupta Dynasty],[Maurya Dynasty],[Nanda Dynasty],[Haryanka Dynasty],[Haryanka Dynasty ruled Magadh before Maurya.],[medium],[History],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[Culture: [Which folk dance is performed in Bihar villages?]],[Jhijhiya],[Bihu],[Garba],[Kathak],[Jhijhiya],[Jhijhiya is a traditional dance of Bihar villages.],[easy],[Culture],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[Current Affairs: [Which state initiative improved literacy in Bihar 2025?]],[Mukhyamantri Balika Cycle Yojana],[Mukhyamantri Gramin Pathshala],[Samagra Shiksha],[Digital Bihar],[Samagra Shiksha],[Samagra Shiksha initiative helped literacy in Bihar.],[medium],[Current Affairs],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[Mathematics: [Solve 9 × 5 ÷ 3]],[15],[20],[10],[18],[15],[9×5÷3=45÷3=15.],[medium],[Mathematics],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[Reasoning: [All tigers are cats, some cats are pets. Which is true?]],[Some tigers are pets],[All tigers are pets],[No tigers are pets],[Cannot say],[Cannot say],[Cannot determine pets among tigers.],[hard],[Reasoning],[1],[single]
[ASI Bihar Exam],[Practice Set-2],[True or False: [Bihar has a desert region.]],[True],[False],,,[False],[Bihar has no desert region.],[easy],[Geography],[1],[true_false]
