[Category],[Exam],[Question Text],[Choice 1],[Choice 2],[Choice 3],[Choice 4],[Correct Answer],[Explanation],[Difficulty],[Topic],[Points],[Question Type]
[ASI Bihar Exam],[Practice Set-5],[Reasoning: [If all A are B, some B are C, what can be concluded about A and C?]],[Cannot say],[Some A are C],[All A are C],[No A is C],[Cannot say],[Cannot determine relationship between A and C.],[hard],[Reasoning],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Mathematics: [Find the square root of 2025.]],[45],[50],[55],[40],[45],[45 × 45 = 2025.],[hard],[Mathematics],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Current Affairs: [Which Indian state launched the “Har Ghar Nal Ka Jal” scheme in 2025?]],[Bihar],[Uttar Pradesh],[Jharkhand],[Rajasthan],[Bihar],[Bihar launched the scheme to provide tap water to every household.],[hard],[Current Affairs],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[History: [Who was the last governor of Bihar under British rule?]],[Sir Edward Gait],[Lord Mountbatten],[Sir John Anderson],[Lord Curzon],[Sir John Anderson],[Sir John Anderson was the last governor before independence.],[hard],[History],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Geography: [Which Bihar district is richest in mineral resources?]],[Gaya],[Rohtas],[Patna],[Bhagalpur],[Rohtas],[Rohtas is rich in limestone and other minerals.],[hard],[Geography],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Mathematics: [Solve: 7² + 24²]],[625],[576],[625],[601],[625],[7² + 24² = 49 + 576 = 625.],[hard],[Mathematics],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Reasoning: [All roses are flowers, some flowers are red. Which is true about roses?]],[Some roses are red],[All roses are red],[Cannot say],[No rose is red],[Cannot say],[Cannot determine if roses are red.],[hard],[Reasoning],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Current Affairs: [Which Indian personality won the Ramon Magsaysay Award in 2025?]],[Dr. Sunita Sharma],[Dr. Rajesh Kumar],[Anil Kumar Singh],[None of the above],[Dr. Sunita Sharma],[Dr. Sunita Sharma won the award for social service.],[hard],[Current Affairs],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[History: [Who started the Satyagraha movement in Champaran, Bihar?]],[Mahatma Gandhi],[Rajendra Prasad],[Anugrah Narayan Sinha],[Lala Lajpat Rai],[Mahatma Gandhi],[Mahatma Gandhi led Champaran Satyagraha in 1917.],[hard],[History],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Geography: [Which river in Bihar is known as ‘Sorrow of Bihar’?]],[Kosi],[Ganga],[Sone],[Gandak],[Kosi],[Kosi river frequently causes floods, earning the name.],[hard],[Geography],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Mathematics: [Evaluate: 15 × 14 ÷ 7 + 9]],[39],[35],[32],[36],[39],[15×14=210, 210÷7=30, 30+9=39.],[hard],[Mathematics],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Reasoning: [If P > Q, Q > R, P < S, which is correct?]],[S > R],[S < R],[Cannot say],[S = R],[Cannot say],[Cannot determine relation between S and R.],[hard],[Reasoning],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Current Affairs: [Which dam in Bihar is largest by water capacity?]],[Rajgir Dam],[Koshi Barrage],[Farakka Barrage],[Sone Dam],[Koshi Barrage],[Koshi Barrage has the largest water capacity in Bihar.],[hard],[Current Affairs],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[History: [Who was the finance minister of Bihar after independence in 1950?]],[Anugrah Narayan Sinha],[Sri Krishna Sinha],[Jayaprakash Narayan],[Rajendra Prasad],[Anugrah Narayan Sinha],[Anugrah Narayan Sinha served as finance minister of Bihar.],[hard],[History],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Mathematics: [Solve: 3³ + 4³ + 5³]],[216],[252],[216],[300],[216],[3³+4³+5³=27+64+125=216.],[hard],[Mathematics],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Reasoning: [All A are B, some B are C, all C are D. Which is correct?]],[Cannot say],[Some A are D],[All A are D],[No A is D],[Cannot say],[Cannot conclude exact relation between A and D.],[hard],[Reasoning],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Current Affairs: [Which city in Bihar became a smart city in 2025?]],[Patna],[Gaya],[Bhagalpur],[Muzaffarpur],[Patna],[Patna was selected under Smart City Mission.],[hard],[Current Affairs],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[History: [Who was the first president of Bihar Legislative Assembly?]],[Anugrah Narayan Sinha],[Sri Krishna Sinha],[Rajendra Prasad],[Jayaprakash Narayan],[Rajendra Prasad],[Rajendra Prasad was first president of Bihar Legislative Assembly.],[hard],[History],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Geography: [Which plateau is found in Bihar?]],[Chotanagpur Plateau],[Deccan Plateau],[Malwa Plateau],[Mewar Plateau],[Chotanagpur Plateau],[Chotanagpur Plateau extends into southern Bihar.],[hard],[Geography],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Mathematics: [Solve for x: 5x − 15 = 10]],[5],[3],[6],[4],[5],[5×5−15=10.],[hard],[Mathematics],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Reasoning: [If all M are N, some N are O, some O are P. Which is true?]],[Cannot say],[Some M are P],[All M are P],[No M is P],[Cannot say],[Cannot determine relation between M and P.],[hard],[Reasoning],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Current Affairs: [Which university in Bihar is oldest?]],[Patna University],[Nalanda University],[Magadh University],[Tilka Manjhi University],[Patna University],[Patna University was established in 1917.],[hard],[Current Affairs],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[History: [Who led the first revolt of 1857 in Bihar?]],[Mangal Pandey],[Kunwar Singh],[Raja Rammohan Roy],[Veer Kunwar Singh],[Veer Kunwar Singh],[Veer Kunwar Singh was a freedom fighter in Bihar 1857.],[hard],[History],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Mathematics: [Evaluate: (12×3)² ÷ 6]],[216],[144],[200],[180],[216],[12×3=36, 36²=1296, 1296÷6=216.],[hard],[Mathematics],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Geography: [Which Bihar city is known as Silk City?]],[Bhagalpur],[Patna],[Gaya],[Muzaffarpur],[Bhagalpur],[Bhagalpur is famous for silk production.],[hard],[Geography],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Reasoning: [All X are Y, some Y are Z, some Z are W. Which is correct?]],[Cannot say],[Some X are W],[All X are W],[No X is W],[Cannot say],[Cannot conclude relation between X and W.],[hard],[Reasoning],[1],[single]
